Nama Game,Harga Game
EA SPORTS FC™ 24,"Rp 1,479,000"
Marvel’s Spider-Man 2,"Rp 510,000"
eFootball™ 2024,"Rp 1,329,000"
Call of Duty®,"Rp 1,579,000"
NBA 2K24,"Rp 1,029,000"
Genshin Impact 3rd Anniversary,"Rp 999,000"
Alan Wake 2,"Rp 1,329,000"
Fortnite,"Rp 879,000"
Roblox,"Rp 1,070,000"
UFC® 5,"Rp 1,039,000"
Marvel’s Spider-Man 2,"Rp 449,000"
Call of Duty®,Free
Alan Wake 2,Free
Roblox,Free
UFC® 5,Free
STAR OCEAN THE SECOND STORY R,Free
Honkai: Star Rail,Free
RoboCop: Rogue City,Free
HOT WHEELS UNLEASHED™ 2 - Turbocharged,Free
WRC,Free
My Time at Sandrock,Free
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Sound Ultimate Edition PS4™ & PS5® (Game),Free
EA SPORTS FC™ 24,"Rp 1,479,000"
Marvel’s Spider-Man 2,"Rp 510,000"
eFootball™ 2024,"Rp 1,329,000"
Call of Duty®,"Rp 1,579,000"
NBA 2K24,"Rp 1,029,000"
Genshin Impact 3rd Anniversary,"Rp 999,000"
Alan Wake 2,"Rp 1,329,000"
Fortnite,"Rp 879,000"
Roblox,"Rp 1,070,000"
UFC® 5,"Rp 1,039,000"
Marvel’s Spider-Man 2,"Rp 449,000"
Call of Duty®,Free
Alan Wake 2,Free
Roblox,Free
UFC® 5,Free
STAR OCEAN THE SECOND STORY R,Free
Honkai: Star Rail,Free
RoboCop: Rogue City,Free
HOT WHEELS UNLEASHED™ 2 - Turbocharged,Free
WRC,Free
My Time at Sandrock,Free
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Sound Ultimate Edition PS4™ & PS5® (Game),Free
Watch Dogs: Legion - Bloodline (English/Chinese/Korean/Japanese Ver.),Save 85%
Watch Dogs: Legion - Golden King Pack (English/Chinese/Korean/Japanese Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
Watch Dogs: Legion - London Dissident Pack (English/Chinese/Korean/Japanese Ver.),Save 85%
"Watch Dogs: Legion PS5 - 1,100 WD Credits (English/Chinese/Korean/Japanese Ver.)",Save 80%
"Watch Dogs: Legion PS5 - 2,500 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 149,000"
"Watch Dogs: Legion PS5 - 4,550 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 45,000"
Watch Dogs: Legion PS5 - 500 WD Credits Pack (English/Chinese/Korean/Japanese Ver.),"Rp 45,000"
"Watch Dogs: Legion PS5 - 7,250 WD Credits (English/Chinese/Korean/Japanese Ver.)","Rp 99,000"
Watch Dogs: Legion - Resistance Edition Pack (English/Chinese/Korean/Japanese Ver.),"Rp 205,000"
Watch Dogs: Legion - Season Pass (English/Chinese/Korean/Japanese Ver.),"Rp 359,000"
Watch Dogs: Legion Ultimate Pack (English/Chinese/Korean/Japanese Ver.),"Rp 50,000"
Cosplay Slayer Master Collection Cosmetic Pack (English/Chinese/Korean Ver.),Subscribe to PlayStation Plus Extra to access this game and hundreds more in the Game Catalogue
DOOM Eternal: Ancient Gods Part One - PS5 Upgrade (English/Chinese/Korean Ver.),Save 60%
DOOM Eternal Campaign - PS5 Upgrade (English/Chinese/Korean Ver.),Save 60%
DOOM Eternal: Rip and Tear Pack (English/Chinese/Korean Ver.),"Rp 69,000"
DOOM Eternal: Series 1 Cosmetic Pack (English/Chinese/Korean Ver.),Unavailable
DOOM Eternal: Series 2 Cosmetic Pack (English/Chinese/Korean Ver.),Unavailable
DOOM Eternal: Series 3 Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 34,500"
DOOM Eternal: Series 4 Cosmetic Pack (English/Chinese/Korean Ver.),"Rp 139,000"
